Precio,Cambio,Potencia,Año,kilometraje,Diésel,Eléctrico,Gasolina,Hybrid
11999,0,75,2017,67000,False,False,True,False
5499,0,110,2010,200000,True,False,False,False
14890,0,110,2018,66258,True,False,False,False
20990,0,130,2016,84258,True,False,False,False
11500,0,90,2017,91975,True,False,False,False
14099,0,90,2018,18669,True,False,False,False
9999,0,73,2017,131208,False,False,True,False
15990,0,101,2020,54984,False,False,False,False
9999,0,90,2015,96940,False,False,True,False
10599,0,73,2016,65714,False,False,True,False
10299,0,90,2013,67871,False,False,True,False
10399,0,115,2014,53591,False,False,True,False
14199,0,90,2016,14175,False,False,True,False
16099,0,101,2020,16105,False,False,True,False
17199,0,90,2019,23518,True,False,False,False
12299,1,120,2014,97986,False,False,True,False
10899,0,90,2015,95459,False,False,True,False
9599,0,90,2013,98511,True,False,False,False
17699,0,140,2019,36194,False,False,True,False
15399,0,130,2016,125645,False,False,True,False
18699,0,91,2021,11347,False,False,True,False
8199,0,90,2015,140006,False,False,True,False
15799,0,130,2018,48949,False,False,True,False
12500,0,115,2019,75000,True,False,False,False
20999,0,140,2019,63563,False,False,True,False
9990,0,75,2017,144172,True,False,False,False
1490,0,65,2003,196665,True,False,False,False
1990,0,80,2004,110249,True,False,False,False
8799,0,90,2014,142863,True,False,False,False
21599,1,160,2017,92758,True,False,False,False
21499,1,150,2020,48719,True,False,False,False
19999,0,116,2021,84203,True,False,False,False
21399,0,140,2019,12350,False,False,True,False
6150,0,110,2012,209614,True,False,False,False
14499,0,132,2017,67077,False,False,True,False
17799,0,116,2019,62475,True,False,False,False
14199,0,132,2016,91010,False,False,True,False
18899,1,130,2017,51147,False,False,True,False
14999,0,132,2016,71008,False,False,True,False
15499,0,130,2017,103095,True,False,False,False
16499,0,110,2017,45902,True,False,False,False
15399,1,110,2015,115589,True,False,False,False
13899,0,90,2018,154810,True,False,False,False
10799,0,75,2017,75294,True,False,False,False
17099,0,116,2019,45653,True,False,False,False
14299,0,132,2017,101633,False,False,True,False
18799,0,116,2019,33045,False,False,True,False
5599,0,88,2011,127413,True,False,False,False
20199,0,140,2019,70792,False,False,True,False
16599,1,160,2015,151353,True,False,False,False
16199,1,132,2017,46302,False,False,True,False
17799,1,132,2018,48380,False,False,True,False
18099,1,160,2016,120836,True,False,False,False
6150,0,110,2012,209614,True,False,False,False
8099,0,75,2014,70300,False,False,True,False
9499,0,73,2015,91593,False,False,True,False
19599,0,130,2018,53873,True,False,False,False
10999,0,132,2014,99923,False,False,True,False
22499,1,160,2017,126350,True,False,False,False
6899,0,88,2011,121855,True,False,False,False
17299,0,110,2017,91664,True,False,False,False
17199,0,132,2017,111421,False,False,True,False
15490,0,90,2019,81530,False,False,True,False
8900,0,90,2015,112197,True,False,False,False
2950,0,115,2003,130000,False,False,True,False
13500,0,75,2020,6000,False,False,True,False
9399,0,75,2017,110139,True,False,False,False
10499,0,115,2015,78363,False,False,True,False
6000,1,110,2006,168000,False,False,False,False
11599,0,90,2017,72792,False,False,True,False
4400,0,120,2005,156000,True,False,False,False
21799,1,205,2018,57917,False,False,True,False
3200,0,65,2003,227000,True,False,False,False
10299,0,90,2017,159904,True,False,False,False
18399,1,131,2020,18677,False,False,True,False
20499,1,140,2019,87636,False,False,True,False
10890,0,225,2008,147000,False,False,True,False
13990,0,90,2019,78600,False,False,True,False
4200,0,100,2004,126000,True,False,False,False
5400,0,120,2005,205000,True,False,False,False
11400,0,175,2008,110000,True,False,False,False
18099,0,165,2018,64547,False,False,True,False
8490,0,90,2017,153300,True,False,False,False
23499,0,177,2017,79273,True,False,False,False
11990,0,110,2017,130000,True,False,False,False
4200,0,65,2005,178900,True,False,False,False
3200,0,120,2005,219000,True,False,False,False
14100,0,90,2019,72589,False,False,True,False
4400,0,135,2004,189000,False,False,True,False
10399,0,90,2015,97551,False,False,True,False
14990,0,130,2017,122500,True,False,False,False
8400,0,110,2013,169000,True,False,False,False
9000,0,75,2015,83380,True,False,False,False
9091,0,75,2015,58300,True,False,False,False
13095,0,110,2018,91350,True,False,False,False
8272,0,75,2015,104650,True,False,False,False
19990,0,115,2021,49643,True,False,False,False
22800,0,90,2022,5100,False,False,True,False
22800,0,90,2022,9018,False,False,True,False
22800,0,90,2022,7877,False,False,True,False
12590,0,75,2017,55000,True,False,False,False
8700,0,75,2015,130000,True,False,False,False
15600,1,130,2019,145622,True,False,False,False
21900,1,160,2016,182000,True,False,False,False
10628,0,75,2016,80900,True,False,False,False
10450,0,150,2008,208000,True,False,False,False
22580,0,140,2021,11795,False,False,True,False
17990,1,110,2018,81016,True,False,False,False
20280,1,115,2020,71293,True,False,False,False
9728,0,80,2015,87470,True,False,False,False
14527,0,90,2016,40000,False,False,True,False
11500,0,75,2018,91168,True,False,False,False
11500,0,75,2018,91168,True,False,False,False
13900,0,110,2017,130910,True,False,False,False
13900,0,110,2017,130910,True,False,False,False
10900,1,90,2018,122925,True,False,False,False
21809,1,108,2020,25914,False,True,False,False
20809,1,70,2020,26374,False,True,False,False
10900,1,90,2018,122925,True,False,False,False
9900,0,110,2014,158000,True,False,False,False
15830,0,130,2017,123200,False,False,True,False
11627,0,90,2019,69556,False,False,True,False
11900,0,110,2013,154000,True,False,False,False
10509,0,90,2019,99000,False,False,True,False
11627,0,90,2018,91513,False,False,True,False
7300,0,75,2015,159250,True,False,False,False
14180,0,90,2019,82162,False,False,True,False
